source_address	source_port	dest_address	dest_port	delay
1.0.0.2	49153	7.0.0.2	1234	0.004000
1.0.0.2	49153	7.0.0.2	1234	0.004000
1.0.0.2	49153	7.0.0.2	1234	0.005000
1.0.0.2	49153	7.0.0.2	1234	0.016000
1.0.0.2	49153	7.0.0.2	1234	0.018000
1.0.0.2	49153	7.0.0.2	1234	0.020000
1.0.0.2	49153	7.0.0.2	1234	0.023000
1.0.0.2	49153	7.0.0.2	1234	0.025000
1.0.0.2	49153	7.0.0.2	1234	0.027000
1.0.0.2	49153	7.0.0.2	1234	0.030000
1.0.0.2	49153	7.0.0.2	1234	0.032000
1.0.0.2	49153	7.0.0.2	1234	0.034000
1.0.0.2	49153	7.0.0.2	1234	0.036000
1.0.0.2	49153	7.0.0.2	1234	0.039000
1.0.0.2	49153	7.0.0.2	1234	0.041000
1.0.0.2	49153	7.0.0.2	1234	0.043000
1.0.0.2	49153	7.0.0.2	1234	0.046000
1.0.0.2	49153	7.0.0.2	1234	0.046000
1.0.0.2	49153	7.0.0.2	1234	0.048000
1.0.0.2	49153	7.0.0.2	1234	0.052000
1.0.0.2	49153	7.0.0.2	1234	0.054000
1.0.0.2	49153	7.0.0.2	1234	0.056000
1.0.0.2	49153	7.0.0.2	1234	0.059000
1.0.0.2	49153	7.0.0.2	1234	0.061000
1.0.0.2	49153	7.0.0.2	1234	0.064000
1.0.0.2	49153	7.0.0.2	1234	0.066000
1.0.0.2	49153	7.0.0.2	1234	0.069000
1.0.0.2	49153	7.0.0.2	1234	0.071000
1.0.0.2	49153	7.0.0.2	1234	0.073000
1.0.0.2	49153	7.0.0.2	1234	0.075000
1.0.0.2	49153	7.0.0.2	1234	0.079000
1.0.0.2	49153	7.0.0.2	1234	0.079000
1.0.0.2	49153	7.0.0.2	1234	0.082000
1.0.0.2	49153	7.0.0.2	1234	0.084000
1.0.0.2	49153	7.0.0.2	1234	0.086000
1.0.0.2	49153	7.0.0.2	1234	0.088000
1.0.0.2	49153	7.0.0.2	1234	0.091000
1.0.0.2	49153	7.0.0.2	1234	0.094000
1.0.0.2	49153	7.0.0.2	1234	0.096000
1.0.0.2	49153	7.0.0.2	1234	0.098000
1.0.0.2	49153	7.0.0.2	1234	0.101000
1.0.0.2	49153	7.0.0.2	1234	0.103000
1.0.0.2	49153	7.0.0.2	1234	0.106000
1.0.0.2	49153	7.0.0.2	1234	0.109000
1.0.0.2	49153	7.0.0.2	1234	0.111000
1.0.0.2	49153	7.0.0.2	1234	0.113000
1.0.0.2	49153	7.0.0.2	1234	0.115000
1.0.0.2	49153	7.0.0.2	1234	0.116000
1.0.0.2	49153	7.0.0.2	1234	0.118000
1.0.0.2	49153	7.0.0.2	1234	0.121000
1.0.0.2	49153	7.0.0.2	1234	0.124000
1.0.0.2	49153	7.0.0.2	1234	0.126000
1.0.0.2	49153	7.0.0.2	1234	0.128000
1.0.0.2	49153	7.0.0.2	1234	0.131000
1.0.0.2	49153	7.0.0.2	1234	0.133000
1.0.0.2	49153	7.0.0.2	1234	0.135000
1.0.0.2	49153	7.0.0.2	1234	0.137000
1.0.0.2	49153	7.0.0.2	1234	0.140000
1.0.0.2	49153	7.0.0.2	1234	0.142000
1.0.0.2	49153	7.0.0.2	1234	0.144000
1.0.0.2	49153	7.0.0.2	1234	0.147000
1.0.0.2	49153	7.0.0.2	1234	0.149000
1.0.0.2	49153	7.0.0.2	1234	0.151000
1.0.0.2	49153	7.0.0.2	1234	0.153000
1.0.0.2	49153	7.0.0.2	1234	0.156000
1.0.0.2	49153	7.0.0.2	1234	0.158000
1.0.0.2	49153	7.0.0.2	1234	0.159000
1.0.0.2	49153	7.0.0.2	1234	0.162000
1.0.0.2	49153	7.0.0.2	1234	0.164000
1.0.0.2	49153	7.0.0.2	1234	0.166000
1.0.0.2	49153	7.0.0.2	1234	0.169000
1.0.0.2	49153	7.0.0.2	1234	0.171000
1.0.0.2	49153	7.0.0.2	1234	0.173000
1.0.0.2	49153	7.0.0.2	1234	0.175000
1.0.0.2	49153	7.0.0.2	1234	0.178000
1.0.0.2	49153	7.0.0.2	1234	0.180000
1.0.0.2	49153	7.0.0.2	1234	0.182000
1.0.0.2	49153	7.0.0.2	1234	0.185000
1.0.0.2	49153	7.0.0.2	1234	0.187000
1.0.0.2	49153	7.0.0.2	1234	0.190000
1.0.0.2	49153	7.0.0.2	1234	0.192000
1.0.0.2	49153	7.0.0.2	1234	0.195000
1.0.0.2	49153	7.0.0.2	1234	0.197000
1.0.0.2	49153	7.0.0.2	1234	0.198000
1.0.0.2	49153	7.0.0.2	1234	0.200000
1.0.0.2	49153	7.0.0.2	1234	0.202000
1.0.0.2	49153	7.0.0.2	1234	0.205000
1.0.0.2	49153	7.0.0.2	1234	0.207000
1.0.0.2	49153	7.0.0.2	1234	0.209000
1.0.0.2	49153	7.0.0.2	1234	0.211000
1.0.0.2	49153	7.0.0.2	1234	0.214000
1.0.0.2	49153	7.0.0.2	1234	0.217000
1.0.0.2	49153	7.0.0.2	1234	0.219000
1.0.0.2	49153	7.0.0.2	1234	0.221000
1.0.0.2	49153	7.0.0.2	1234	0.224000
1.0.0.2	49153	7.0.0.2	1234	0.226000
1.0.0.2	49153	7.0.0.2	1234	0.228000
1.0.0.2	49153	7.0.0.2	1234	0.229000
1.0.0.2	49153	7.0.0.2	1234	0.232000
1.0.0.2	49153	7.0.0.2	1234	0.234000
1.0.0.2	49153	7.0.0.2	1234	0.237000
1.0.0.2	49153	7.0.0.2	1234	0.239000
1.0.0.2	49153	7.0.0.2	1234	0.241000
1.0.0.2	49153	7.0.0.2	1234	0.244000
1.0.0.2	49153	7.0.0.2	1234	0.247000
1.0.0.2	49153	7.0.0.2	1234	0.249000
1.0.0.2	49153	7.0.0.2	1234	0.251000
1.0.0.2	49153	7.0.0.2	1234	0.254000
1.0.0.2	49153	7.0.0.2	1234	0.256000
1.0.0.2	49153	7.0.0.2	1234	0.259000
1.0.0.2	49153	7.0.0.2	1234	0.261000
1.0.0.2	49153	7.0.0.2	1234	0.264000
1.0.0.2	49153	7.0.0.2	1234	0.266000
1.0.0.2	49153	7.0.0.2	1234	0.268000
1.0.0.2	49153	7.0.0.2	1234	0.269000
1.0.0.2	49153	7.0.0.2	1234	0.271000
1.0.0.2	49153	7.0.0.2	1234	0.274000
1.0.0.2	49153	7.0.0.2	1234	0.277000
1.0.0.2	49153	7.0.0.2	1234	0.279000
1.0.0.2	49153	7.0.0.2	1234	0.281000
1.0.0.2	49153	7.0.0.2	1234	0.283000
1.0.0.2	49153	7.0.0.2	1234	0.286000
1.0.0.2	49153	7.0.0.2	1234	0.288000
1.0.0.2	49153	7.0.0.2	1234	0.290000
1.0.0.2	49153	7.0.0.2	1234	0.293000
1.0.0.2	49153	7.0.0.2	1234	0.295000
1.0.0.2	49153	7.0.0.2	1234	0.297000
1.0.0.2	49153	7.0.0.2	1234	0.299000
1.0.0.2	49153	7.0.0.2	1234	0.303000
1.0.0.2	49153	7.0.0.2	1234	0.305000
1.0.0.2	49153	7.0.0.2	1234	0.306000
1.0.0.2	49153	7.0.0.2	1234	0.308000
1.0.0.2	49153	7.0.0.2	1234	0.310000
1.0.0.2	49153	7.0.0.2	1234	0.313000
1.0.0.2	49153	7.0.0.2	1234	0.316000
1.0.0.2	49153	7.0.0.2	1234	0.318000
1.0.0.2	49153	7.0.0.2	1234	0.320000
1.0.0.2	49153	7.0.0.2	1234	0.322000
1.0.0.2	49153	7.0.0.2	1234	0.325000
1.0.0.2	49153	7.0.0.2	1234	0.327000
1.0.0.2	49153	7.0.0.2	1234	0.330000
1.0.0.2	49153	7.0.0.2	1234	0.333000
1.0.0.2	49153	7.0.0.2	1234	0.335000
1.0.0.2	49153	7.0.0.2	1234	0.337000
1.0.0.2	49153	7.0.0.2	1234	0.339000
1.0.0.2	49153	7.0.0.2	1234	0.340000
1.0.0.2	49153	7.0.0.2	1234	0.342000
1.0.0.2	49153	7.0.0.2	1234	0.345000
1.0.0.2	49153	7.0.0.2	1234	0.347000
1.0.0.2	49153	7.0.0.2	1234	0.349000
1.0.0.2	49153	7.0.0.2	1234	0.351000
1.0.0.2	49153	7.0.0.2	1234	0.354000
1.0.0.2	49153	7.0.0.2	1234	0.356000
1.0.0.2	49153	7.0.0.2	1234	0.358000
1.0.0.2	49153	7.0.0.2	1234	0.361000
1.0.0.2	49153	7.0.0.2	1234	0.363000
